,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
1216,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路271~300號,20.73,住,,,1081206,土地1建物1車位1,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061124,152.34,3,2,2,有,有,10880000,75719,坡道平面,27.14,1400000,,RPSNMLLMJHPFFAH18CA
1217,桃園區,房地(土地+建物)+車位,桃園市桃園區經國一路1~30號,15.98,商,,,1081212,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051102,161.54,3,2,2,有,有,11200000,73966,坡道平面,28.37,1350000,,RPTNMLLMJHPFFAH28CA
1218,桃園區,房地(土地+建物)+車位,桃園市桃園區長春路31~60號,22.8,住,,,1080824,土地1建物1車位1,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080321,185.41000000000003,3,2,2,有,有,12500000,69209,坡道平面,26.47,1500000,,RPRNMLNJKHPFFAH08CA
1220,桃園區,房地(土地+建物)+車位,桃園市桃園區大華五街31~60號,15.4,住,,,1081122,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030227,135.26,2,2,1,有,有,8500000,62842,坡道平面,0.0,0,,RPQPMLLLJHPFFAH08CA
1223,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路271~300號,19.37,住,,,1081201,土地1建物1車位1,三層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061124,144.59,3,2,2,有,有,10350000,71582,坡道平面,27.14,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPWOMLKLJHPFFAH48CA
1228,桃園區,房地(土地+建物)+車位,桃園市桃園區中山路751~780號,44.53,住,,,1081125,土地1建物1車位1,十九層，二十層,20.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881201,465.51,6,3,5,有,有,22300000,47904,坡道機械,0.0,0,含增建或未登記建物。;,RPQSMLOKJHPFFAH58CA
1233,桃園區,房地(土地+建物)+車位,桃園市桃園區正光路181~210號,41.3,住,,,1081021,土地1建物1車位2,十三層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,316.01,3,2,3,有,有,30750000,102854,坡道平面,50.1,3400000,,RPVRMLKKJHPFFAH58CA
1244,桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街91~120號,15.42,住,,,1081212,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070601,125.97,2,2,1,有,有,6130000,56064,坡道平面,40.71,1350000,,RPOOMLOKJHPFFAH97CA
1246,桃園區,房地(土地+建物)+車位,桃園市桃園區吉安一街181~210號,14.47,住,,,1081101,土地1建物1車位1,十一層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070323,128.18,2,2,1,有,有,9700000,85208,坡道平面,27.25,1100000,,RPRQMLPKJHPFFAH58CA
1248,桃園區,房地(土地+建物)+車位,桃園市桃園區文中路601~630號,22.4,住,,,1081208,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011219,175.15,3,2,3,有,有,10610000,60577,坡道平面,33.34,0,,RPUQMLPKJHPFFAH88CA
1249,桃園區,房地(土地+建物)+車位,桃園市桃園區吉安一街181~210號,18.04,住,,,1081130,土地1建物1車位1,十五層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070323,153.10000000000002,3,2,1,有,有,12500000,89789,坡道平面,27.25,1200000,,RPVQMLPKJHPFFAH98CA
1258,桃園區,房地(土地+建物)+車位,桃園市桃園區經國路391~420號,11.32,住,,,1080919,土地1建物1車位1,十五層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831026,143.72,3,2,2,有,有,8500000,59143,坡道平面,0.0,0,,RPRNMLTKJHPFFAH68CA
1259,桃園區,房地(土地+建物)+車位,桃園市桃園區介壽路1~30號,8.64,住,,,1081109,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920728,95.1,2,1,1,有,有,6100000,64143,坡道平面,31.69,0,,RPTNMLTKJHPFFAH88CA
1260,桃園區,房地(土地+建物),桃園市桃園區敬二街1~30號,12.66,住,,,1081130,土地1建物1車位0,九層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830713,130.44,3,2,2,有,有,6700000,51365,,0.0,0,,RPORMLLLJHPFFAH08CA
1262,桃園區,房地(土地+建物)+車位,桃園市桃園區經國一路91~120號,13.86,商,,,1081122,土地1建物1車位1,二十三層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060929,142.54,2,2,1,有,有,10210000,84963,坡道平面,41.79,1650000,,RPUQMLKLJHPFFAH48CA
1263,桃園區,房地(土地+建物)+車位,桃園市桃園區寶慶路301~330號,9.97,住,,,1081117,土地1建物1車位1,二層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840714,103.00999999999999,2,2,1,有,有,5400000,52422,坡道機械,0.0,0,,RPWQMLKLJHPFFAH68CA
1264,桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,14.28,商,,,1081225,土地2建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,151.5,3,2,2,有,有,9400000,62046,坡道平面,22.34,0,,RPQRMLKLJHPFFAH18CA
1268,桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路841~870號,38.47,住,,,1081223,土地1建物1車位2,十五層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080904,287.58000000000004,3,2,2,有,有,24880000,103977,坡道平面,82.92,3600000,,RPSSMLPJKHPFFAH88CA
1271,桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路468巷1~30號,22.29,住,,,1081226,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080916,174.9,3,2,2,有,有,11760000,74987,坡道平面,41.41,1750000,,RPUSMLRJKHPFFAH66CA
1307,中壢區,房地(土地+建物),桃園市中壢區龍和三街1~30號,12.28,住,,,1081215,土地1建物1車位0,二層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860227,102.96000000000001,3,2,2,有,有,4100000,39821,,0.0,0,,RPOPMLKLJHPFFBH87CA
1312,中壢區,房地(土地+建物)+車位,桃園市中壢區環北路331~360號,11.27,住,,,1081222,土地1建物1車位1,八層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980629,154.97,3,2,2,有,有,13600000,87759,坡道平面,0.0,0,,RPUOMLKMJHPFFBH48CA
1327,中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路239巷1~30號,18.84,住,,,1081202,土地1建物1車位2,十九層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890302,227.89,3,2,2,有,有,8500000,37299,坡道平面,0.0,2100000,,RPPPMLMLJHPFFBH18CA
1343,龍潭區,房地(土地+建物),桃園市龍潭區百年二街1~30號,42.56,,鄉村區,乙種建築用地,1081208,土地1建物1車位0,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860130,133.43,3,2,2,有,有,4300000,32227,,0.0,0,,RPOOMLOKJHPFFCH18CA
1350,龍潭區,房地(土地+建物)+車位,桃園市龍潭區神龍路411巷1~30號,15.23,商,,,1081207,土地1建物1車位1,三層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960930,154.11,3,2,2,有,有,6400000,41529,坡道平面,29.76,0,,RPOOMLOJKHPFFCH18CA
1357,楊梅區,房地(土地+建物)+車位,桃園市楊梅區永美路371巷1~30號,49.55,住,,,1090101,土地1建物1車位1,十三層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050830,339.23,4,2,3,有,有,16880000,49760,坡道平面,0.16,0,,RPPNMLNLJHPFFDH28CA
1362,楊梅區,房地(土地+建物)+車位,桃園市楊梅區中山北路一段390巷45弄31~60號,26.78,住,,,1090102,土地1建物1車位1,十二層，十三層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830625,183.03,4,2,2,有,有,5720000,31252,坡道平面,0.0,300000,,RPWNMLOKJHPFFDH98CA
1365,楊梅區,房地(土地+建物)+車位,桃園市楊梅區文化街189巷31~60號,24.83,住,,,1081224,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920219,154.01,3,2,2,有,有,4000000,25972,坡道平面,0.0,0,受債權債務影響或債務抵償之交易。;,RPOOMLPKJHPFFDH38CA
1370,楊梅區,房地(土地+建物)+車位,桃園市楊梅區金德路1~30號,26.41,住,,,1081207,土地1建物1車位2,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051108,235.56,3,2,2,有,有,11280000,58483,坡道平面,83.72,2400000,,RPTNMLRKJHPFFDH98CA
1371,楊梅區,房地(土地+建物)+車位,桃園市楊梅區金德路1~30號,20.88,住,,,1081207,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051108,159.82,2,2,2,有,有,8880000,62889,坡道平面,37.7,1200000,,RPUNMLRKJHPFFDH09CA
1372,楊梅區,房地(土地+建物)+車位,桃園市楊梅區金德路1~30號,23.3,住,,,1081129,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051108,170.35,2,2,2,有,有,8500000,56540,坡道平面,37.7,1000000,,RPVNMLRKJHPFFDH56CA
1381,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區大興十四街31~60號,23.95,住,,,1081225,土地1建物1車位1,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040601,130.13,2,2,1,有,有,6600000,50719,坡道平面,0.0,0,,RPWOMLRKJHPFFEH86CA
1383,蘆竹區,房地(土地+建物),桃園市蘆竹區南昌路1~30號,19.09,住,,,1081209,土地1建物1車位0,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840223,145.4,1,1,1,有,無,7500000,51582,,0.0,0,,RPWNMLRKJHPFFEH76CA
1386,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區光復路121~150號,18.18,住,,,1081215,土地1建物1車位1,一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830506,141.55,2,2,1,有,有,6350000,44860,坡道平面,0.0,0,,RPXPMLKLJHPFFEH09CA
1393,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區桃園市蘆竹區忠孝西路31~60號,30.05,住,,,1080413,土地1建物1車位1,四層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,175.19,3,2,2,有,有,13800000,83374,坡道平面,31.26,1800000,土地及建物分次登記案件。前案土地登記收件字號：;,RPVPMLOJKHPFFEH56CA
1394,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,36.16,住,,,1081103,土地1建物1車位1,三層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,204.78,3,2,2,有,有,17550000,90768,坡道平面,31.26,1800000,土地及建物分次登記案件。前案土地登記收件字號：;,RPWPMLOJKHPFFEH66CA
1395,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,35.53,住,,,1080425,土地1建物1車位2,七層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,234.74,3,2,2,有,有,19100000,89803,坡道平面,65.48,3900000,土地及建物分次登記案件。前案土地登記收件字號：;,RPPNMLPJKHPFFEH48CA
1396,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,35.53,住,,,1070601,土地1建物1車位2,十五層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,229.53,3,2,2,有,有,18990000,93294,坡道平面,60.28,3200000,土地及建物分次登記案件。前案土地登記收件字號：;,RPRNMLPJKHPFFEH68CA
1397,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,31.74,住,,,1080608,土地1建物1車位1,五層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,183.25,3,2,2,有,有,14900000,85532,坡道平面,31.26,1900000,土地及建物分次登記案件。前案土地登記收件字號：;,RPSNMLPJKHPFFEH78CA
1398,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,35.39,住,,,1081129,土地1建物1車位1,十七層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,198.27,3,2,2,有,有,17750000,94830,坡道平面,29.02,1700000,土地及建物分次登記案件。前案土地登記收件字號：;,RPUNMLPJKHPFFEH98CA
1399,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,30.05,住,,,1080118,土地1建物1車位1,十七層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,174.16000000000003,3,2,2,有,有,14480000,89134,坡道平面,30.23,1650000,,RPWNMLPJKHPFFEH56CA
1400,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,43.61,住,,,1081123,土地1建物1車位2,四層,20.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,270.99,3,2,2,有,有,24570000,100580,坡道平面,62.5,3600000,,RPPOMLPJKHPFFEH58CA
1401,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,43.61,住,,,1080920,土地1建物1車位2,四層,20.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,271.36,3,2,2,有,有,23300000,94973,坡道平面,62.88,3500000,,RPVOMLPJKHPFFEH56CA
1414,八德區,房地(土地+建物)+車位,桃園市八德區銀和街71巷1~30號,17.37,住,,,1081217,土地1建物1車位1,十一層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0870729,159.96,3,2,2,有,有,6780000,42386,坡道平面,4.5,0,,RPPOMLMLJHPFFFH48CA
1423,平鎮區,房地(土地+建物)+車位,桃園市平鎮區中庸路211~240號,20.35,住,,,1081109,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070928,157.93,3,2,2,有,無,8100000,51582,坡道平面,27.07,1350000,,RPQOMLOKJHPFFGH78CA
1425,平鎮區,房地(土地+建物)+車位,桃園市平鎮區新富街181~210號,15.98,住,,,1081222,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040203,125.81,2,2,1,有,有,6300000,50076,坡道平面,33.55,0,,RPROMLNKJHPFFGH78CA
1429,平鎮區,房地(土地+建物)+車位,桃園市平鎮區上海路151~180號,21.61,商,,,1081201,土地1建物2車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951213,176.28,4,2,2,有,有,8250000,46801,坡道平面,0.0,0,,RPRPMLKLJHPFFGH68CA
1430,平鎮區,房地(土地+建物),桃園市平鎮區中豐路202巷1~30號,13.08,住,,,1081128,土地1建物1車位0,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860501,109.7,3,2,2,有,有,4300000,39198,,0.0,0,,RPTNMLLLJHPFFGH78CA
1432,平鎮區,房地(土地+建物)+車位,桃園市平鎮區民族路二段23巷31~60號,11.66,商,,,1081226,土地1建物1車位1,十二層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030807,190.97,3,2,2,有,無,10500000,54982,坡道平面,0.0,0,,RPOOMLLKKHPFFGH38CA
1436,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,20.62,住,,,1081226,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,171.06,3,1,2,有,有,10200000,61130,坡道平面,32.83,1750000,土地及建物分次登記案件。前案土地登記收件字號：;,RPXNMLQKJHPFFHH07CA
1437,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,18.7,住,,,1081226,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,156.96,3,1,2,有,有,10350000,69282,坡道平面,32.83,1750000,,RPOOMLQKJHPFFHH88CA
1438,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,21.68,住,,,1081226,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,176.49,3,1,2,有,有,11560000,68982,坡道平面,32.83,1650000,,RPQOMLQKJHPFFHH09CA
1440,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,14.24,住,,,1081226,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,126.63,2,1,1,有,有,8300000,70362,坡道平面,32.83,1700000,,RPUPMLRKJHPFFHH07CA
1441,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,14.24,住,,,1081226,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,126.73,2,1,1,有,有,8260000,69862,坡道平面,32.83,1700000,,RPWPMLRKJHPFFHH27CA
1442,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,14.24,住,,,1081226,土地1建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,126.73,2,1,1,有,有,7930000,66347,坡道平面,32.83,1700000,,RPPNMLKLJHPFFHH38CA
1443,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,19.34,住,,,1081226,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,163.51999999999998,3,1,2,有,有,10250000,64657,坡道平面,32.83,1800000,,RPTNMLKLJHPFFHH78CA
1444,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,19.34,住,,,1081226,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,163.51999999999998,3,1,2,有,有,9900000,62361,坡道平面,32.83,1750000,,RPVNMLKLJHPFFHH98CA
1445,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,18.07,住,,,1081226,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,154.39,3,1,2,有,有,9080000,60711,坡道平面,32.83,1700000,,RPROMLKLJHPFFHH68CA
1446,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,18.28,住,,,1081226,土地1建物1車位2,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,174.08999999999997,3,1,2,有,有,10360000,67533,坡道平面,52.52,2150000,,RPTOMLKLJHPFFHH88CA
1447,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,18.07,住,,,1081226,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,154.39,3,1,2,有,有,9330000,62767,坡道平面,32.83,1700000,,RPUOMLKLJHPFFHH98CA
1448,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,18.07,住,,,1081226,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,154.39,3,1,2,有,有,10200000,69513,坡道平面,32.83,1750000,,RPVOMLKLJHPFFHH09CA
1449,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,18.07,住,,,1081226,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,154.39,3,1,2,有,有,9630000,65235,坡道平面,32.83,1700000,,RPXOMLKLJHPFFHH66CA
1451,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,20.62,住,,,1081226,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,172.34,3,1,2,有,有,11100000,67998,坡道平面,34.1,1700000,,RPPPMLKLJHPFFHH58CA
1452,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,18.7,住,,,1081226,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,156.96,3,1,2,有,有,9990000,66382,坡道平面,32.83,1750000,,RPRPMLKLJHPFFHH78CA
1453,龜山區,房地(土地+建物),桃園市龜山區華亞三路199巷1~30號,13.6,住,,,1081226,土地1建物1車位0,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,91.82,2,1,1,有,有,6030000,65672,,0.0,0,,RPTPMLKLJHPFFHH98CA
1454,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,19.55,住,,,1081226,土地1建物1車位2,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,183.20999999999998,3,1,2,有,有,10250000,61979,坡道平面,52.52,2150000,,RPPNMLRKJHPFFHH98CA
1455,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,18.07,住,,,1081226,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,154.39,3,1,2,有,有,9700000,66222,坡道平面,32.83,1650000,,RPQNMLRKJHPFFHH09CA
1456,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,20.62,住,,,1081226,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,171.06,3,1,2,有,有,11500000,70535,坡道平面,32.83,1750000,,RPRNMLRKJHPFFHH56CA
1457,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,20.62,住,,,1081226,土地1建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,171.06,3,1,2,有,有,11300000,69088,坡道平面,32.83,1750000,,RPSNMLRKJHPFFHH66CA
1458,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,13.81,住,,,1081226,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,124.65,2,1,1,有,有,7500000,63712,坡道平面,32.83,1650000,,RPTNMLRKJHPFFHH76CA
1459,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,13.81,住,,,1081226,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,124.65,2,1,1,有,有,7650000,64801,坡道平面,32.83,1700000,,RPWNMLRKJHPFFHH07CA
1460,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,13.81,住,,,1081226,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,124.65,2,1,1,有,有,8410000,73622,坡道平面,32.83,1650000,,RPXNMLRKJHPFFHH17CA
1461,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,13.81,住,,,1081226,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,124.75,2,1,1,有,有,7850000,67450,坡道平面,32.83,1650000,,RPOOMLRKJHPFFHH98CA
1462,龜山區,房地(土地+建物),桃園市龜山區華亞三路199巷1~30號,13.6,住,,,1081226,土地1建物1車位0,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,91.92,2,1,1,有,有,7010000,76262,,0.0,0,,RPQOMLRKJHPFFHH56CA
1463,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,21.68,住,,,1081226,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,176.49,3,1,2,有,有,11550000,68217,坡道平面,32.83,1750000,,RPSOMLRKJHPFFHH76CA
1464,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,21.68,住,,,1081226,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,176.49,3,1,2,有,有,10600000,61256,坡道平面,32.83,1800000,,RPTOMLRKJHPFFHH86CA
1465,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,14.24,住,,,1081226,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,126.63,2,1,1,有,有,8280000,70682,坡道平面,32.83,1650000,,RPQPMLRKJHPFFHH66CA
1466,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,21.68,住,,,1081226,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,176.49,3,1,2,有,有,11450000,67869,坡道平面,32.83,1700000,,RPUPMLQKJHPFFHH96CA
1467,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,21.68,住,,,1081226,土地1建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,176.49,3,1,2,有,有,11550000,68565,坡道平面,32.83,1700000,,RPWPMLQKJHPFFHH17CA
1468,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,14.24,住,,,1081226,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,126.63,2,1,1,有,有,8270000,70576,坡道平面,32.83,1650000,,RPXPMLQKJHPFFHH27CA
1469,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,14.24,住,,,1081226,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,126.73,2,1,1,有,有,7980000,66880,坡道平面,32.83,1700000,,RPOQMLQKJHPFFHH09CA
1473,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,21.68,住,,,1081226,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,176.49,3,1,2,有,有,11540000,67451,坡道平面,32.83,1850000,,RPPNMLPJKHPFFHH78CA
1477,龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段721~750號,11.39,商,,,1081123,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030705,109.08,2,2,1,有,有,6000000,55006,坡道機械,19.97,0,,RPPNMLTLJHPFFHH66CA
1478,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,19.34,住,,,1081226,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,163.51999999999998,3,1,2,有,有,10100000,63892,坡道平面,32.83,1750000,,RPRNMLKMJHPFFHH68CA
1479,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,21.68,住,,,1081226,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,176.49,3,1,2,有,有,10800000,63344,坡道平面,32.83,1700000,,RPPNMLLLJHPFFHH48CA
