鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路583巷1~30號,524.6,其他,,,1081108,土地2建物7車位14,見使用執照，七層,七層,廠辦,工商用,鋼筋混凝土造,0871125,2505.58,14,1,0,有,有,370000000,147670,坡道平面,0.0,23800000,,RPXRMLQJJHPFFCA88DA
內湖區,房地(土地+建物),臺北市內湖區康寧路三段75巷181~210號,61.14,住,,,1080912,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850418,130.25,3,2,2,有,無,17950000,137812,,0.0,0,含增建或未登記建物。權利人二人。,RPOPMLMLJHPFFCA57DA
中山區,房地(土地+建物),臺北市中山區中山北路二段20巷1~30號,10.57,住,,,1081212,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660923,49.76,2,2,1,有,無,11000000,221061,,0.0,0,含增建或未登記建物。;,RPTQMLLMJHPFFCA18DA
信義區,車位,臺北市信義區松隆路301~330號,2.2,商,,,1081221,土地0建物0車位1,地下五層,十四層,其他,停車空間,鋼筋混凝土造,0810827,28.53,0,0,0,有,有,2000000,,坡道平面,28.53,2000000,,RPTNMLPJJHPFFDA08DA
信義區,房地(土地+建物),臺北市信義區和平東路三段341巷1~30號,20.88,住,,,1081124,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0700317,67.15,3,2,1,有,有,12000000,178704,,0.0,0,,RPRNMLMKJHPFFDA67DA
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路513巷1~30號,61.13,其他,,,1081123,土地1建物1車位2,七層,九層,廠辦,工業用,鋼筋混凝土造,0871022,348.27,4,0,0,有,有,53680000,154133,坡道平面,0.0,3000000,,RPQNMLTKJHPFFCA18DA
大安區,房地(土地+建物),臺北市大安區延吉街151~180號,11.64,其他,,,1081109,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0721130,123.12,3,1,2,有,有,33780000,274366,,0.0,0,含增建或未登記建物。,RPOPMLSJJHPFFFA28DA
大安區,房地(土地+建物),臺北市大安區忠孝東路四段181巷40弄1~30號,31.15,住,,,1080925,土地1建物1車位0,一層,六層,店面(店鋪),住家用,鋼筋混凝土造,0750912,124.53,0,1,1,有,有,63500000,509917,,0.0,0,含增建或未登記建物。,RPQNMLTKJHPFFFA48DA
北投區,房地(土地+建物)+車位,臺北市北投區文林北路1~30號,44.04,住,,,1081104,土地2建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021021,191.22,3,2,2,有,有,22700000,118711,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLRKJHPFFEA78DA
大安區,車位,臺北市大安區和平東路一段50巷1~30號,0.9,商,,,1081214,土地0建物0車位1,,,其他,,,,9.48,0,0,0,有,有,1820000,,其他,9.48,1820000,單獨車位交易。;,RPWNMLPKJHPFFFA68DA
